point_id,x,y
1,890,83
2,867,72
3,820,72
4,785,93
5,753,93
6,718,83
7,710,72
8,621,62
9,597,46
10,570,57
11,558,88
12,566,109
13,585,109
14,609,127
15,601,143
16,535,166
17,488,213
18,449,273
19,410,286
20,378,335
21,359,343
22,359,356
23,265,416
24,257,444
25,238,447
26,214,426
27,152,411
28,128,434
29,132,444
30,78,444
31,35,470
32,35,522
33,58,554
34,35,572
35,35,613
36,82,652
37,121,650
38,167,621
39,199,624
40,203,613
41,175,585
42,187,580
43,226,593
44,257,585
45,296,590
46,269,603
47,281,616
48,273,629
49,324,655
50,378,652
51,425,634
52,441,637
53,433,616
54,386,569
55,375,533
56,398,525
57,386,520
58,402,520
59,453,494
60,496,489
61,488,483
62,523,491
63,507,494
64,527,496
65,515,504
66,527,507
67,527,530
68,554,574
69,546,587
70,585,608
71,601,600
72,582,577
73,597,564
74,660,564
75,769,541
76,789,543
77,808,522
78,796,504
79,804,491
80,785,481
81,800,470
82,820,473
83,824,468
84,808,465
85,816,463
86,777,457
87,765,463
88,773,473
89,750,473
90,722,499
91,679,499
92,609,478
93,589,460
94,656,382
95,683,374
96,667,369
97,753,374
98,742,379
99,757,379
100,824,426
101,847,421
102,859,431
103,914,442
104,945,437
105,957,447
106,984,426
107,996,442
108,992,163
109,988,179
110,964,179
111,972,182
112,945,218
113,960,221
114,960,231
115,945,239
116,894,239
117,882,228
118,843,228
119,882,231
120,843,234
121,851,247
122,824,265
123,796,265
124,757,286
125,765,288
126,742,306
127,761,317
128,734,327
129,750,335
130,742,340
131,671,348
132,660,327
133,636,171
134,699,161
135,734,140
136,726,137
137,738,135
138,738,119
139,781,119
140,816,137
141,859,135
142,863,124
143,886,130
144,898,106
